"April","April"
"August","August"
"Choose a valid address before you can select a shipping method.","Choose a valid address before you can select a shipping method."
"Choose your desired additional options","Choose your desired additional options"
"Click here to choose a different delivery option","Click here to choose a different delivery option"
"Click here to choose another pick-up point","Click here to choose another pick-up point"
"Close","Close"
"December","December"
"Delivery Information","Delivery Information"
"Delivery","Delivery"
"EveningDelivery","Evening delivery"
"February","February"
"Friday","Friday"
"January","January"
"July","July"
"June","June"
"March","March"
"May","May"
"Monday","Monday"
"Monta - Password","Monta - Wachtwoord"
"Monta - Username","Monta - Gebruikersnaam"
"Monta - Webshop","Monta - Webshop"
"NoNeighbour","No delivery at neighbour"
"November","November"
"October","October"
"Pick-up address","Pick-up address"
"Pick-up","Pick-up"
"Please select a delivery option. If no options are visible, please make sure you've entered your address information correctly.","Please select a delivery option. If no options are visible, please make sure you've entered your address information correctly."
"Please select a postnumber. This is mandatory for pack stations","Please select a postnumber. This is mandatory for pack stations"
"Post number","Post number"
"Postal Code","Postal Code"
"SameDayDelivery","Same day delivery"
"Saturday","Saturday"
"SaturdayDelivery","Saturday delivery"
"Search","Search"
"Select another pick-up point near you below or","Select another pick-up point near you below or"
"Select delivery option","Select delivery option"
"Select pick-up point","Select pick-up point"
"September","September"
"Shipping Cost","Shipping costs"
"Ships on this date from the Netherlands","Ships on this date from the Netherlands"
"Show business hours","Show business hours"
"SignatureOnDelivery","Signature on delivery"
"Sunday","Sunday"
"Sustainably delivered","Sustainably delivered"
"Thursday","Thursday"
"Tuesday","Tuesday"
"Unfortunately, no pick-up points could be found.","Unfortunately, no pick-up points could be found."
"Use selection","Use selection"
"Want to deliver today or another day? Click here","Want to deliver today or another day? Click here"
"Wednesday","Wednesday"
"Your order will be delivered with","Your order will be delivered with"
"Your order will be shipped with","Your order will be shipped with"
"between","between"
"click here"," klik hier "
"from","from"
"hour","h"
"on","on"
"to choose another pick-up point","to choose another pick-up point"
